RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
102001,United States,0,190500,186500,182400,178200,177000,176300,175300,173500,170400,166900,164200,162700,160700,156200,152400,151800,153800,156300,157800,159400,161000,162200,163900,164200,165300,162800,160200,157100,157600,158200,159600,158500,158800,158100,158500,157600,155400,152800,149900,149200,149800,150000,149500,148500,148300,149300,149000,149000,148600,149800,151500,153600,155500,157300,157800,159000,160100,162500,163400,163700,164300,165700,168000,169700,172100,174600,175200,175800,174700,175000,174200,175400,175800,176400,176700,177300,179100,180600,182300,182700,182700,183200,184700,186900,189300,191200,192600,193500,194300,193900,193600,192600,192800,194200,196200,197100,196800,197000,197500,199000,199800,201600,202400,204400,206000,207200,208200,209300,210300,210100,209700,210000,211000,211900,213800,215300,217800,219000,221500,225700,229000,229000,225200,223500,222600,222900,222400,224100,226800,228500,231600,234200,237500,237600,237300,236800,236900,237000,
394913,"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361900,362000,362700,363900,366000,362500,357300,354200,353800,350300,339900,328100,324100,322700,324800,325000,329300,332100,336600,336200,335000,333700,335800,336800,335200,333500,330300,331900,331000,335200,337600,341200,349100,352100,354400,349300,347700,347800,348300,349300,349400,352800,352900,353600,354800,353600,352800,350900,352300,355400,354400,353600,352400,350700,352000,350900,353600,355000,355700,356700,357200,355700,357200,357100,358900,358500,358300,358800,358900,358700,359600,357600,357500,353500,359300,363000,371500,372100,372000,372500,370900,374000,374000,377600,378500,378700,378100,379800,381900,383000,383400,384600,386800,386900,385800,385700,387700,390700,391600,390800,393600,394700,396900,397800,399200,
753899,"Los Angeles-Long Beach-Anaheim, CA",2,474000,461800,445200,434700,420200,407800,393200,380300,368300,356100,341600,331100,324700,320700,319800,326100,334700,342200,349600,356200,363500,366200,370500,368600,367100,362600,366000,363700,365600,361300,367700,366100,369000,364200,360400,356800,354000,354900,351900,348100,347400,345700,345400,338900,338800,336300,337000,335000,335900,340000,342200,347400,354300,363300,373000,378100,387600,395000,398000,399200,404300,418900,431700,441800,446700,450800,453100,454600,455300,454700,452800,454000,453800,457600,461600,463200,466400,467400,471400,474200,474700,475900,476800,482900,487300,492200,491000,495500,497600,503200,501300,500300,501600,509700,516000,517800,517400,520000,524200,525900,527100,531200,533500,530000,526700,522200,525300,520600,525600,526800,534800,536300,538800,540400,546800,559400,578200,588300,596400,598500,605900,607000,609600,611600,614200,615100,617500,621700,628500,626900,627800,623900,628100,631900,631000,630500,632400,636100,640300
394463,"Chicago, IL",3,262300,258600,241600,229100,226200,228200,231900,231300,227100,223700,216400,214400,210200,205600,197200,191000,192300,196300,199100,201200,201700,201300,200700,201700,200400,197700,190800,189600,186600,188200,184600,185900,187400,188200,185900,181100,177800,173000,167300,164500,168100,173100,173800,171600,166600,167000,162700,162500,160600,162100,161600,164100,166100,169900,169200,167300,166500,165300,165500,163000,162500,162500,166900,174100,185900,193000,196200,196700,195900,197200,194800,196700,195400,195100,194000,196200,199300,203900,207600,208200,206300,203700,203800,203900,205400,206900,208000,206100,204100,197400,193800,189500,188100,186500,184000,183400,183800,186000,187800,188800,190600,193700,194200,195800,197400,201000,203800,206200,207700,207500,206400,203700,201800,202000,202000,203800,204800,207700,211300,215100,222900,224400,222100,218700,219300,221500,220900,222000,227500,225400,228000,232300,243800,245700,241300,233900,230300,229300,229400
394974,"Philadelphia, PA",4,212300,210700,206000,198000,195100,195400,196800,197000,198400,197500,197100,197400,201100,201200,195200,188800,186000,189100,190800,192200,193400,197200,200300,202700,203400,203000,197300,191500,188900,186400,187700,187700,192400,194500,199800,202000,200000,193900,184200,181000,180300,182500,180900,179300,179400,182700,184000,188200,187800,187900,184800,186500,186700,187900,182500,182300,184900,192500,195800,195700,193700,192300,189600,190900,193600,197900,196900,195600,194400,195100,195000,194600,196200,194200,192100,190800,191300,192800,193100,194400,193600,192400,191900,190900,191500,193400,194500,194900,193400,192400,193200,193400,193400,189900,192000,198000,199000,196500,191500,193900,195900,196300,196600,194700,196100,199900,200500,203600,201500,203700,202900,203100,202700,200500,198600,197000,196600,199600,200200,199900,199200,199500,201600,199600,199000,198700,199800,200700,202800,204400,207400,209900,212500,216100,216100,216100,214600,214400,
395209,"Washington, DC",5,357600,347400,331300,317000,312400,310500,302800,294400,287100,281400,281400,278700,281700,275600,272500,272600,282600,296500,303900,303500,301900,301500,300800,297000,295200,298100,296600,290900,292100,285100,294600,291200,305700,305300,303400,301000,287600,279400,270900,272500,285400,294900,305500,297500,290600,283500,284300,281400,290800,295700,307500,311800,320900,322100,319900,317100,318700,317900,319300,315600,323900,326800,337300,340400,346800,348000,344700,340900,339900,340100,341500,339400,341900,341100,350200,350100,354900,348700,347800,346500,348400,351300,349000,349500,355600,357200,356900,348800,347400,345400,347900,349400,350100,346200,346300,348800,349400,350500,347800,348900,348300,351100,352200,355100,353700,354200,355700,356300,358800,358200,359400,358300,359500,359800,362200,362300,364400,366600,369500,371600,378700,380700,382500,376700,374200,374100,374900,375500,376900,377100,379200,382900,392900,393200,392300,385700,387100,390200,
394856,"Miami-Fort Lauderdale, FL",6,256500,247100,236100,228400,224900,223000,214400,205700,194200,187400,175700,166700,157600,150100,142000,137300,138200,142100,144100,143800,143700,145000,145600,145100,144900,143300,143600,141400,137800,132200,126800,127900,130400,130500,123300,117700,114100,117100,120000,123300,127400,126100,124600,123000,124100,127900,130400,132600,133900,135800,138000,140700,141000,141700,142500,145400,147500,152700,155700,159300,157400,158600,162800,167200,170300,171900,173700,174700,176200,177700,180400,178400,179300,178500,182300,184700,188100,187800,187900,188000,191600,194000,195100,195100,197100,199100,205300,207800,210000,208400,208200,208900,205900,206800,207700,214800,216900,219800,219200,220300,221500,223000,225600,228500,228700,229600,229100,233200,234400,237600,236600,237500,236200,239400,242700,245100,245500,246700,251200,253900,257100,255300,254800,252300,251000,251400,251300,256700,259800,262500,261100,262700,268100,270000,268800,266600,266900,270000,
394347,"Atlanta, GA",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95200,95700,96000,97900,96900,97000,96600,97100,98400,101100,104800,107300,109300,110600,114000,117300,121700,123700,126200,127700,132000,136800,142700,144100,143800,141400,140500,140400,141000,141000,140000,141200,145600,151000,155500,156400,157200,156100,157900,159600,162000,162600,168000,170500,173200,170600,171000,171600,171600,172500,173700,175300,175700,175200,173500,172400,171400,174000,175100,176800,177000,179000,178900,181000,182000,185800,186500,188600,189000,189600,189000,190000,192100,193700,195400,197700,203300,205300,206700,204800,205500,205200,202300,204600,206300,211300,212300,216500,220400,222100,219800,220000,219900,221700,220800,
394404,"Boston, MA",8,331900,326600,323600,320700,319900,320100,318700,317200,311400,305300,295200,292500,285300,288400,286000,292700,295800,303200,307300,307800,303400,308300,309700,312000,306700,306400,305900,309400,315500,323100,323200,321800,320200,316800,305700,292900,285100,287100,295500,305100,314000,316900,317800,310400,305600,299600,299500,296600,301200,302800,309200,315100,322500,322200,319400,319200,321600,320700,308800,303900,305900,317300,321400,323100,324500,328800,329400,330200,328400,329300,332800,340800,347700,348700,349700,350300,354100,355300,354600,354900,354800,357000,358800,361100,360600,359600,360100,361000,365100,368600,370400,370400,369200,370300,370500,366500,364700,367200,372200,377200,377900,379600,381800,382900,384200,385500,388000,389500,391400,392100,394900,395600,397500,398200,401500,405200,411000,413500,412400,412100,412600,418200,421600,426000,426100,426700,423400,425900,428300,428600,429200,431900,437500,438200,439600,440700,443300,443700,
395057,"San Francisco, CA",9,593700,550200,516000,494400,487200,467700,441900,406600,373600,351400,335400,325300,309200,302600,306000,329800,354700,374400,392300,402400,409600,416600,418500,415700,406900,398800,406000,413100,428000,435300,440900,433500,422800,415000,410000,400700,388800,379000,379100,380800,385900,390200,392100,390000,386000,378900,378200,372300,373900,380700,395500,414700,434700,444500,453200,462300,474100,487300,487400,488200,490300,513400,541000,560600,571400,574300,577100,576600,576800,577700,585900,594400,597400,590000,583700,579400,580700,588600,597700,601400,595900,588200,582000,588000,600900,613100,615500,612500,613900,622200,626800,626000,625000,638500,647400,644600,629400,623300,629600,643700,652800,653700,646900,644200,650400,661500,672500,673300,674700,681700,689300,696000,693400,698700,706500,719500,733100,738600,740100,745400,755100,764400,773000,779500,779600,769000,762800,773600,783600,784300,782900,786900,791400,791200,790100,781900,771000,759100,774100
